Author,Year,Title,Journal,Keywords,Abstract
"Clapham, P.; Van Waerebeek, K.;",2007,Bushmeat and bycatch: the sum of the parts,Molecular Ecology,markets; whale,"In many developing countries, the killing of wild animals for commercial purposes (the bushmeat trade) is a significant factor in the reduction of biodiversity, and probably represents a major threat to the survival of many more populations than we know. This includes marine species such as cetaceans, sea turtles and sirenians ('marine bushmeat'), which are often neglected in the discussion of this issue. Estimating the impact of the bushmeat trade anywhere is problematic because even the most thorough visual surveys of meat markets cannot easily translate an observed quantity of butchered products into the number of animals killed. In this issue of Molecular Ecology, Baker et al. provide a powerful new tool for such assessments: molecular identification of commercially available products from a depleted population of minke whales in South Korea is combined with genotyping and novel capture-recapture methods to estimate not only the number of individuals taken, but also the persistence of the resulting products in the marketplace."
"Clements, Tom; John, Ashish; Nielsen, Karen; An, Dara; Tan, Setha; Milner-Gulland, E. J.;",2010,Payments for biodiversity conservation in the context of weak institutions: Comparison of three programs from Cambodia,Ecological Economics,biodiversity conservation; Common-pool resources; Direct payments; Ecotourism; institutions; PES,"Implementing any conservation intervention, including Payments for Ecosystem Services (PES), in the context of weak institutions is challenging. The majority of PES programs have been implemented in situations where the institutional framework and property rights are strong and target the behaviours of private landowners. By contrast, this paper compares three PES programs from a forest landscape in Cambodia, where land and resource rights are poorly defined, governance is poor, species populations are low and threats are high. The programs vary in the extent to which payments are made directly to individuals or to villages and the degree of involvement of local management institutions. The programs were evaluated against three criteria: the institutional arrangements, distribution of costs and benefits, and the conservation results observed. The most direct individual contracts had the simplest institutional arrangements, the lowest administrative costs, disbursed significant payments to individual villagers making a substantial contribution to local livelihoods, and rapidly protected globally significant species. However, this program also failed to build local management organisations or understanding of conservation goals. By contrast the programs that were managed by local organisations were slower to become established but crucially were widely understood and supported by local people, and were more institutionally effective. PES programs may therefore be more sustainable when they act to empower local institutions and reinforce intrinsic motivations."
"Coad, L.; Abernethy, K.; Balmford, A.; Manica, A.; Airey, L.; Milner-Gulland, E. J.;",2010,"Distribution and Use of Income from Bushmeat in a Rural Village, Central Gabon",Conservation Biology,wild meat; livelihoods; Africa; gender; spending; protein; Africa; carne; de monte; formas de vida; gasto; genero; proteina; development policy; central-africa; wealth; conservation; west,"Bushmeat hunting is an activity integral to rural forest communities that provides a high proportion of household incomes and protein requirements. An improved understanding of the relationship between bushmeat hunting and household wealth is vital to assess the potential effects of future policy interventions to regulate an increasingly unsustainable bushmeat trade. We investigated the relationship between hunting offtake and household wealth, gender differences in spending patterns, and the use of hunting incomes in two rural forest communities, Central Gabon, from 2003 to 2005. Households in which members hunted (hunting households) were significantly wealthier than households in which no one hunted (nonhunting households), but within hunting households offtakes were not correlated with household wealth. This suggests there are access barriers to becoming a hunter and that hunting offtakes may not be the main driver of wealth accumulation. Over half of the money spent by men in the village shop was on alcohol and cigarettes, and the amount and proportion of income spent on these items increased substantially with increases in individual hunting offtake. By contrast, the majority of purchases made by women were of food, but their food purchases decreased actually and proportionally with increased household hunting offtake. This suggests that the availability of bushmeat as a food source decreases spending on food, whereas hunting income may be spent in part on items that do not contribute significantly to household food security. Conservation interventions that aim to reduce the commercial bushmeat trade need to account for likely shifts in individual spending that may ensue and the secondary effects on household economies."
"Coad, L.; Schleicher, J.; Milner-Gulland, E. J.; Marthews, T. R.; Starkey, M.; Manica, A.; Balmford, A.; Mbombe, W.; Bineni, T. R. D.; Abernethy, K. A.;",2013,"Social and Ecological Change over a Decade in a Village Hunting System, Central Gabon",Conservation Biology,alternative livelihoods; bushmeat; central Africa; CPUE; hunter; behavior; mixed-methods; postdepletion sustainability; wild meat; equatorial-guinea; bushmeat market; bioko island; sustainability; forests; models,"Despite widespread recognition of the major threat to tropical forest biological diversity and local food security posed by unsustainable bushmeat hunting, virtually no long-term studies tracking the socioecological dynamics of hunting systems have been conducted. We interviewed local hunters and collected detailed hunting data to investigate changes in offtake and hunter characteristics over 10 years (20012010) in Dibouka and Kouagna villages, central Gabon, in the context of hunter recollections of longer term trends since the 1950s. To control for changes in hunter behavior, such as trap location and characteristics, we report hunting offtake data per trap. Our results suggest the hunting area was already highly depleted by 2001; local hunters reported that 16 large-bodied prey species had become rare or locally extirpated over the last 60 years. Overall, we observed no significant declines in hunting offtake or changes in species composition from 2001 to 2010, and offtakes per trap increased slightly between 2004 and 2010. However, trapping distance from the villages increased, and there was a switch in hunting techniques; a larger proportion of the catch was hunted with guns in 2010. The number of hunters declined by 20% from 2004 to 2010, and male livelihood activities shifted away from hunting. Hunters with the lowest hunting incomes in 2004 were more likely than successful hunters to have moved away from the village by 2010 (often in response to alternative employment opportunities). Therefore, changes in trap success (potentially related to biological factors) were interacting with system-level changes in hunter number and composition (related to external socioeconomic factors) to produce a relatively static overall offtake. Our results highlight the importance of understanding the small-scale context of hunting to correctly interpret changes or apparent stasis in hunting effort and offtake over time."
"Collings, Peter;",1997,Subsistence hunting and wildlife management in the central Canadian Arctic,Arctic Anthropology,common property; peary caribou; resource; reciprocity; community; impacts; tragedy,"During the winter of 1992/93, a perceived caribou decline in the vicinity of Holman, NWT, Canada, led a government wildlife manager to suggest that a ban on caribou hunting was the only reasonable solution to managing the caribou population. This paper focuses on the resulting interaction between wildlife managers and Inuit. On the surface, the process appeared to be an adequate exercise in co-management, as the community was involved in all phases of addressing the problem. However, further examination suggests that some local Inuit were unhappy with both the process and the solution. It is also suggested that a ban on caribou hunting was unnecessary because Inuit recognized that continued hunting was economically unproductive."
"Condon, R. G.; Collings, P.; Wenzel, G.;",1995,"THE BEST PART OF LIFE - SUBSISTENCE HUNTING, ETHNICITY, AND ECONOMIC ADAPTATION AMONG YOUNG-ADULT INUIT MALES",Arctic,subsistence; harvest effort; inuit identity; young adults; food sharing; health; self-esteem; alaska,"This paper examines the economic adaptations and subsistence hunting involvement of householders between the ages of 20 and 35 in the Copper Inuit community of Holman. Social, economic, and political changes throughout the Canadian Arctic have made it impossible for young adults to pursue the same mixed economic strategies as previous generations. A general decrease in subsistence hunting involvement is characteristic of the younger generation. Nevertheless, some young householders have made a conscious effort to remain active in subsistence hunting and fishing to provide for themselves and related households. Some have even increased subsistence hunting involvement as their own parents age and become increasingly infirm. Other householders are less active in hunting and fishing, but continue to view land-based harvesting as central to a sense of Inuit identity. The motivations, economic position, and family background of a sample of active and less active young adult hunters are explored in an attempt to understand the pressures experienced by young adults as they strive to make a place in a northern society radically different from that of their parents at a similar age. While the authors recognize the economic value of subsistence harvesting and the foods that result from it, we also emphasize the less easily quantified dimensions of subsistence ideology and its impact upon physical health, psychological well-being, and community integration."
"Constantino, P. A. L.;",2015,Dynamics of hunting territories and prey distribution in Amazonian Indigenous Lands,Applied Geography,Kaxinawa; Acre; Central-place forager; Subsistence hunting territory; Participatory mapping; Participatory monitoring; manu national-park; diet breadth; sustainability; management; forests; conservation; neotropics; abundance; patterns; peru,"Indigenous Lands in the Brazilian Amazon intend to guarantee indigenous rights and conserve forests, although many do not correspond to peoples' territorial needs and may not effectively preserve wildlife. Most indigenous people rely on game for subsistence, and the spatial distribution of hunts and prey determine hunting sustainability and wildlife conservation. I examined the Kaxinawa hunting territory dynamics through the participatory monitoring and mapping of 10 ILs. The Kaxinawa are central-place foragers whose ideal hunting territories have a circular shape with a radius of 5 km. The geopolitics of the Kaxinawa combined with spatial occupation distort hunting territories to maintain indigenous control while respecting the territories of nearby villages. The fission of large villages leads to reduced hunting territories but increases the overall hunted area, consequently affecting game populations. Kaxinawa hunting did not lead species to extinction. The Kaxinawa hunted 65% of prey within 2.5 km of the villages and the other 30% within 5 km. Although all of the species were hunted close to villages, the prey were smaller, and several sensitive species were rarely hunted. The replacement of such sensitivity for more resilient low-ranked species on hunting bags suggests that these species might be depleted near villages. These findings provide objective standards for titling Indigenous Lands and for improving wildlife management within these lands. (C) 2014 Elsevier Ltd. All rights reserved."
"Constantino, P. D. L.;",2016,Deforestation and hunting effects on wildlife across Amazonian indigenous lands,Ecology and Society,Amazonia; game species; habitat loss; indigenous hunting; Katukina; Kaxinawa; road; manu national-park; protected areas; forest fragments; diet breadth; sustainability; bushmeat; game; abundance; mammals; vertebrate,"Deforestation and hunting are main wildlife threats in Amazonia, affecting the ecosystem and dwellers that rely on game meat. Data from 9109 hunted animals from 35 villages of 8 Pano indigenous lands in Brazilian Amazonia were used to build 4 indicators of wildlife status based on ecological models and to analyze the effects of deforestation, hunting pressure, and socioeconomic aspects on wildlife variation. Although variation in wildlife status indicated depletion in certain locations, hunters from most villages continued to hunt their preferred game after decades of intensive hunting. Indigenous hunting resulted in local depletion of species because of the dispersal of animals away from the source of hunting. This local effect can be explained by the permanent hunting of wildlife in the region, the behavior of Pano hunters, and the design and scale of this study analysis. Regionally, however, deforestation and associated factors are the cause of reduced population density and hunting success, extirpating sensitive species. Roads exacerbated hunting effects through disturbance, encroachment, and provision of access to livestock meat at markets. To avoid local depletion, indigenous people must review their subsistence hunting practices, whereas to achieve regional wildlife conservation and to maintain indigenous societies in Amazonia, wildlife habitat loss should be limited."
"Conteh, A.; Gavin, M. C.; Solomon, J.;",2015,Quantifying illegal hunting: A novel application of the quantitative randomised response technique,Biological Conservation,Bushmeat; Conservation management; Protected area; Sierra Leone; Spatial; distribution of threats to biodiversity; Tropical rain forest; West; Africa; developing-countries; integrating costs; congo basin; wildlife; conservation; africa; california; fisheries; impacts; forests,"Conservation is constrained by the limited budgets available to counter the many threats to biodiversity. Non-compliance with regulations is a major threat to conservation in nearly every ecosystem on the planet. Accurate data on who is involved with illegal activities, where they occur, what resources are illegally exploited, and the quantities of illegal resource used are critical for effective conservation management. Previous studies have found the randomised response technique (RRT) to be an effective method for estimating proportions of populations involved in illegal activities, identifying which sectors of the population are involved, and examining spatial variation in illegal resource use. However, RRT does not quantify the amount of resources illegally extracted. We present the first use within conservation or natural resource Management of an alternative technique, the quantitative randomised response technique (QRRT), to quantify illegal hunting carried out by eight local communities within a nine-month period in the Western Area Peninsula Forest Reserve in Sierra Leone. We found that although a greater portion of the population participated in illegal hunting in some communities, a different set of communities extracted the greatest number of animals from the reserve. Our results highlight the need to provide more accurate estimates of resource extraction that account for uneven illegal extraction activity across the population in order to properly target conservation interventions. (C) 2015 Elsevier Ltd. All rights reserved."
"Cordeiro, N. J.; Burgess, N. D.; Dovie, D. B. K.; Kaplin, B. A.; Marrs, R.;",2007,Conservation in areas of high population density in sub-Saharan Africa,Biological Conservation,eastern tanzania; miombo woodlands; plant diversity; bushmeat; deforestation; management; wildlife; hotspots; war,
"Corlett, R. T.;",2007,The impact of hunting on the mammalian fauna of tropical Asian forests,Biotropica,Asia; endangered species; hunting; mammals; traditional medicine; tropical forest; wildlife trade; oriental indomalayan region; national-park; peninsular malaysia; conservation status; seed dispersal; indonesian borneo; late; pleistocene; protected areas; pongo-pygmaeus; nature-reserve,"People have hunted mammals in tropical Asian forests for at least 40,000 yr. This period has seen one confirmed global extinction (the giant pangolin, Manis palaeojavanica) and range restrictions for several large mammals, but there is no strong evidence for unsustainable hunting pressure until the last 2000-3000 yr, when elephants, rhinoceroses, and several other species were progressively eliminated from the large parts of their ranges. Regional declines in most species have occurred largely within the last 50 yr. Recent subsistence hunting has typically focused on pigs and deer (hunted with dogs and spears or with snares), monkeys and other arboreal mammals (often caught with blowpipes), and porcupines and other rodents (smoked or dug out of burrows). Over the last 50 yr, the importance of hunting for subsistence has been increasingly outweighed by hunting for the market. The hunted biomass is dominated by the same species as before, sold mostly for local consumption, but numerous additional species are targeted for the colossal regional trade in wild animals and their parts for food, medicines, raw materials, and pets. Many populations of mammalian dispersers of large seeds and understory browsers have been depleted or eliminated, while seed predators have had a more variable fate. Most of this hunting is now illegal, but the law enforcement is generally weak. However, examples of successful enforcement show that hunting impacts can be greatly reduced where there is sufficient political will. Ending the trade in wild animals and their parts should have the highest regional conservation priority."
"Costello, M. J.; Baker, C. S.;",2011,Who eats sea meat? Expanding human consumption of marine mammals,Biological Conservation,bushmeat,
"Covey, R.; McGraw, S.;",2011,Abundance of primates in a West African bushmeat market: implications for cercopithecid conservation in eastern Liberia,American Journal of Physical Anthropology,,
"Covey, R.; McGraw, W. S.;",2014,Monkeys in a West African bushmeat market: implications for cercopithecid conservation in eastern Liberia,Tropical Conservation Science,bushmeat market; hunting; Konobo; Liberia; Ivory Coast; Cavally; cote-divoire; national-park; tai region; forest; populations; extinction; impact; sites,"According to the IUCN [1], four of the nine anthropoid species found in Liberia are classified as either Vulnerable or Endangered and this number is likely to rise in coming years due to an increase in bushmeat hunting and a growing human population. Bushmeat hunting is the primary cause of primate loss in West Africa and current estimated offtake rates combined with habitat loss have placed four taxa endemic to Upper Guinea forests in danger of extirpation. We surveyed one bushmeat market located on the Liberia - Ivory Coast border to assess the general impact of hunting in one area of Liberia. This market, located near the Ivorian town of Tai., receives meat daily from the Konobo District of eastern Liberia. We visited the market eight times over a four month period in 2009/2010, during which we counted 723 animals including 264 primates. According to our surveys of the market, Cercopithecus petaurista (Lesser spot-nosed monkey) [25% of all primates] was the most abundant primate, followed by Cercopithecus diana (Diana monkey) [19.3%], Cercocebus atys (Sooty mangabey) [12.1%], Colobus polykomos (King colobus) [11.4%], Procolobus verus (Olive colobus) [10.6%], Cercopithecus campbelli (Campbelli monkey) [10.2%], and Procolobus badius (Western red colobus) [9.5%]. We estimate an average of thirty-three primates were exchanged each day we visited and that a minimum of 9,500 primates are traded annually at this locale (6,900 during formal market days and 2,600 on non-market days). Based on an estimated offtake rate of 2.76%, our preliminary analysis suggests that primates in Liberia's Konobo District are likely being hunted at rates approaching unsustainable levels and are in danger of extirpation."
"Cowlishaw, G.; Mendelson, S.; Rowcliffe, J. M.;",2005,Evidence for post-depletion sustainability in a mature bushmeat market,Journal of Applied Ecology,bushmeat; extinction; Ghana; hunting; sustainable use; commodity chain; west-africa; red colobus; extinction; mammals; forest; exploitation; biodiversity; agriculture; population,"1. The trade in wild animals for meat, or 'bushmeat', is perceived as one of the most important threats to wildlife in the tropics. Unsustainable bushmeat extraction also threatens the loss of livelihoods. However, the long-term persistence of the bushmeat trade, documented in Africa over several centuries, suggests that the trade can be sustainable. In this study, we investigate sustainability in a mature bushmeat market in West Africa (Takoradi, Ghana). 2. Our study, conducted over January and February 2000, combined biological and socio-economic approaches. Offtake data, including information on species identity, capture location and sales price, were collected in a market survey. Species biological data, and the historical price of bushmeat and its substitutes (fish and domestic meat), were taken from the literature. The theoretical sustainable yield for each species was estimated using standard algorithms. 3. We tested the hypothesis that the current trade is unsustainable with four predictions: that (1) the number of animals extracted exceeds a theoretical sustainable yield, (2) larger taxa are depleted more heavily close to the city, (3) the price of bushmeat has outstripped inflation and (4) the price of alternatives, such as domestic meat and fish, has fallen relative to the price of bushmeat. None of these predictions were supported. There was therefore no evidence of unsustainability. 4. Analysis of market profiles and hunter reports suggest that the present pattern of sustainability is the result of a series of non-random extinctions from historical hunting. Vulnerable taxa (slow reproducers) have been depleted heavily in the past, so that only robust taxa (fast reproducers), such as rodents and small antelope, are now traded. These robust taxa are supplied from a predominantly agricultural landscape around the city. 5. Synthesis and applications. The bushmeat trade can have a severe impact on species that are vulnerable to overexploitation. However, once these species have disappeared, the remaining species may be harvested sustainably. Bushmeat management policy might therefore be improved by adopting a two-pronged approach in which vulnerable species are protected from hunting, but robust species are allowed to supply a sustainable trade. The productivity of agricultural landscapes for many bushmeat species indicates that these areas may play an important role in supporting a sustainable bushmeat trade."
"Cowlishaw, G.; Mendelson, S.; Rowcliffe, J. M.;",2007,Livelihoods and Sustainability in a Bushmeat Commodity Chain in Ghana,Bushmeat and Livelihoods: Wildlife Management and Poverty Reduction,,
"Cowlishaw, G.; Mendelson, S.; Rowcliffe, J. M.;",2005,Structure and operation of a bushmeat commodity chain in southwestern Ghana,Conservation Biology,bushmeat trade; hunter; supply chain; extinction; nigeria; africa; size,"The bushmeat trade is perceived as a major threat to wild animal populations in the tropics. Little is known of how the trade is organized, however, or of the actors involved in it, impeding the development of effective conservation policy. We investigated the structure and operation of a bushmeat commodity chain in West Africa that supplies a typical urban market, the city of Takoradi in southwestern Ghana. Data were collected from January through February 2000, describing 2430 bushmeat transactions encompassing 17 different taxa from 70 different actors, through a combination of direct observation and semistructured interviews. Five different types of actor traded along the commodity chain: commercial hunters, farmer hunters, wholesalers, market traders, and chopbar (cafe) owners. Bushmeat was traded freely among all these actors, although the primary trade route for terrestrial mammals was from commercial hunters via wholesalers to chopbars. In contrast, invertebrates were only traded by farmer hunters, market traders, and chopbars. Wholesalers captured the largest per capita share of the market (4% of all sales were handled by each wholesaler), whereas the most important vendors were chopbars, which as a group made 85% of all bushmeat sales to the public. Variation in the price of bushmeat was largely explained by transport costs and taste preferences. Transport costs were most significant for hunters and greatest on long journeys involving large loads. Nevertheless, hunters obtained the greatest income per kilogram of bushmeat sold of all actor groups. Our results suggest that there is no single best entry point along the bushmeat commodity chain for conservation intervention. On the contrary, the successful monitoring and management of the bushmeat trade is likely to require a multiactor approach that encompasses most or all actor groups."
"Crane, M.; Oliver, K.; Silva, I.; Aksornneam, A.; Artchawakom, T.; Strine, C. T.;",2016,"A report of a Malayan Krait snake Bungarus candidus mortality as by-catch in a local fish trap from Nakhon Ratchasima, Thailand",Tropical Conservation Science,Bungarus candidus; spatial ecology; venomous; by-catch; mortality; bushmeat,"Thailand is a world biodiversity hotspot with 176 known snake species. However, anthropogenic influences on snakes associated with growing human populations are poorly understood. Aquatic funnel traps (AFTs) are in widespread use in agricultural areas throughout Thailand, and they have the ability to collect large quantities of by-catch, including snakes. During an on-going study on the human-snake conflict we found, using radio-telemetry, one of our radio-tracked Bungarus candidus (Malayan Krait) individuals dead on 13 October 2015. We had tracked the individual for only 14 days before finding it decapitated 10 m from a villager's house. Upon interviewing the owner, we discovered that the snake had been found dead in a fishing trap, in a man-made irrigation canal located 65 m southeast from his house. Our observation is the first documented case of incidental mortality among upland-dwelling snakes as a result of aquatic trapping in Thailand, and may have implications throughout Southeast Asia. This report suggests fishing traps may be another source of mortality for snakes in human-dominated landscapes, and that further studies may reveal significant rates of terrestrial bycatch in agricultural canals."
"Critchlow, R.; Plumptre, A. J.; Driciru, M.; Rwetsiba, A.; Stokes, E. J.; Tumwesigye, C.; Wanyama, F.; Beale, C. M.;",2015,Spatiotemporal trends of illegal activities from ranger-collected data in a Ugandan national park,Conservation Biology,conservation management; endangered species; Markov chain Monte Carlo; (MCMC); ranger-based monitoring; rule breaking; spatial analysis; protected areas; human-population; biodiversity; conservation; enforcement; serengeti; deforestation; framework; wildlife; drivers,"Within protected areas, biodiversity loss is often a consequence of illegal resource use. Understanding the patterns and extent of illegal activities is therefore essential for effective law enforcement and prevention of biodiversity declines. We used extensive data, commonly collected by ranger patrols in many protected areas, and Bayesian hierarchical models to identify drivers, trends, and distribution of multiple illegal activities within the Queen Elizabeth Conservation Area (QECA), Uganda. Encroachment (e.g., by pastoralists with cattle) and poaching of noncommercial animals (e.g., snaring bushmeat) were the most prevalent illegal activities within the QECA. Illegal activities occurred in different areas of the QECA. Poaching of noncommercial animals was most widely distributed within the national park. Overall, ecological covariates, although significant, were not useful predictors for occurrence of illegal activities. Instead, the location of illegal activities in previous years was more important. There were significant increases in encroachment and noncommercial plant harvesting (nontimber products) during the study period (1999-2012). We also found significant spatiotemporal variation in the occurrence of all activities. Our results show the need to explicitly model ranger patrol effort to reduce biases from existing uncorrected or capture per unit effort analyses. Prioritization of ranger patrol strategies is needed to target illegal activities; these strategies are determined by protected area managers, and therefore changes at a site-level can be implemented quickly. These strategies should also be informed by the location of past occurrences of illegal activity: the most useful predictor of future events. However, because spatial and temporal changes in illegal activities occurred, regular patrols throughout the protected area, even in areas of low occurrence, are also required."
"Cronin, D. T.; Riaco, C.; Linder, J. M.; Bergl, R. A.; Gonder, M. K.; O'Connor, M. P.; Hearn, G. W.;",2016,"Impact of gun-hunting on monkey species and implications for primate conservation on Bioko Island, Equatorial Guinea",Biological Conservation,Bushmeat; Hunting; Impact; Primates; Differential vulnerability; Bioko; line-transect methods; west-africa; seed dispersal; tropical forests; colobus-satanas; congo basin; bushmeat; extinction; diversity; densities,"Bushmeat hunting is among the principal threats to larger-bodied vertebrate species, such as primates, in central Africa. However, species vary in their response to differing levels of hunting intensity, making it difficult to not only quantify the effect hunting has on wild populations, but also to plan for effective conservation interventions. In order to investigate the impact of hunting on primates on Bioko Island, Equatorial Guinea, we collected data on primate abundance and hunting intensity across three areas in the Gran Caldera Scientific Reserve (GCSR) via reconnaissance surveys. We assessed how the relative abundance and proportional representation of Bioko's seven diurnal primate species varied among the different sites and in relation to hunting intensity. Overall primate species richness and abundance were highest in areas where gun hunting was minimal, but both measures declined with increasing evidence of gun hunting. Two species of primates, Cercopithecus erythrotis and Cercopithecus nictitans, were relatively tolerant of heavy hunting, but all other species were considered vulnerable. Procolobus pennantii, a species endemic to Bioko, exhibited the highest vulnerability, and its range appears restricted to a very limited area in the southwest of the GCSR Our analyses indicate that hunting on Bioko is a strong contributor to current patterns of primate abundance and diversity, and suggest that hunting may be driving Bioko's most threatened primates (e.g., P. pennantii) towards extinction. These results highlight the need for rapid intervention on Bioko in order to safeguard the future of its unique primates. (C) 2016 Elsevier Ltd. All rights reserved."
"Cronin, D. T.; Woloszynek, S.; Morra, W. A.; Honarvar, S.; Linder, J. M.; Gonder, M. K.;",2015,"Long-Term Urban Market Dynamics Reveal Increased Bushmeat Carcass Volume despite Economic Growth and Proactive Environmental Legislation on Bioko Island, Equatorial Guinea (vol 10, e0134464, 2015)",Plos One,,
"Cronin, D. T.; Woloszynek, S.; Morra, W. A.; Honarvar, S.; Linder, J. M.; Gonder, M. K.; O'Connor, M. P.; Hearn, G. W.;",2015,"Long-Term Urban Market Dynamics Reveal Increased Bushmeat Carcass Volume despite Economic Growth and Proactive Environmental Legislation on Bioko Island, Equatorial Guinea",Plos One,west-africa; hunting sustainability; wildlife consumption; tropical; forests; empty forest; conservation; trade; biodiversity; impact; exploitation,"Bushmeat hunting is extensive in west and central Africa as both a means for subsistence and for commercial gain. Commercial hunting represents one of the primary threats to wildlife in the region, and confounding factors have made it challenging to examine how external factors influence the commercial bushmeat trade. Bioko Island, Equatorial Guinea is a small island with large tracts of intact forest that support sizeable populations of commercially valuable vertebrates, especially endemic primates. The island also has a low human population and has experienced dramatic economic growth and rapid development since the mid-1990's. From October 1997 - September 2010, we monitored the largest bushmeat market on Bioko in Malabo, recording over 197,000 carcasses for sale. We used these data to analyze the dynamics of the market in relation to political events, environmental legislation, and rapid economic growth. Our findings suggest that bushmeat hunting and availability increased in parallel with the growth of Equatorial Guinea's GDP and disposable income of its citizens. During this 13-year study, the predominant mode of capture shifted from trapping to shotguns. Consequently, carcass volume and rates of taxa typically captured with shotguns increased significantly, most notably including intensified hunting of Bioko's unique and endangered monkey fauna. Attempts to limit bushmeat sales, including a 2007 ban on primate hunting and trade, were only transiently effective. The hunting ban was not enforced, and was quickly followed by a marked increase in bushmeat hunting compared to hunting rates prior to the ban. Our results emphasize the negative impact that rapid development and unenforced legislation have had on Bioko's wildlife, and demonstrate the need for strong governmental support if conservation strategies are to be successful at preventing extinctions of tropical wildlife."
"Cronin, D. T.; Woloszynek, S.; Morra, W.; Honarvar, S.; Linder, J.; O'Connor, M. P.; Hearn, G. S.;",2014,"Long term monitoring of a bushmeat market in Bioko, Equatorial Guinea",Integrative and Comparative Biology,,
"Crookes, D. J.; Ankudey, N.; Milner-Gulland, E. J.;",2005,The value of a long-term bushmeat market dataset as an indicator of system dynamics,Environmental Conservation,africa; Ghana; grasscutters; guns; hunting; snares; sustainability; commodity chain; ghana,"Data on prices and quantities of wildlife on sale in markets are increasingly being used as indicators of the sustainability of bushmeat hunting, being relatively easy to collect. However, it is not clear how much can actually be inferred from trends in such data. This study analyses changes in price, quantity, method of capture and kill location of bushmeat species entering the Atwemonom bushmeat market in the city of Kumasi (Ghana) over the period 1987-2002, using data collected by an official of the Ghana Wildlife Department. The analysis was confined to the seven most commonly traded species and to the open season only, in order to maximize the reliability of the data. Over the period, there was an increase in real bushmeat prices, in the proportion of animals killed by means other than guns and the trade made up by grasscutters (Thryonomys swinderianus). A higher proportion of animals originated from distant areas, rather than from villages close to Kumasi. These trends are compatible both with depletion of the bushmeat resource and with an economically rational response by hunters to increasing prices. The analysis highlights both the utility and the limitations of detailed long-term market data as a tool for assessing the sustainability of wildlife hunting. Data on the origin of animals sold in the market and the gear type are necessary but not sufficient for understanding the drivers of changes in price and quantity of species on sale in markets; without complementary detailed local data on hunter behaviour, market data are of little value."
"Crookes, D. J.; Milner-Gulland, E. J.;",2006,Wildlife and economic policies affecting the bushmeat trade: a framework for analysis,South African Journal of Wildlife Research,bushmeat; hunting; policy; wildlife; conservation; congo; meat,"Hunting wildlife for food is a long-established component of livelihoods throughout the world. However, there is increasing concern that wildlife is disappearing due to overhunting, with associated impacts on both livelihoods and biodiversity. Tropical forest systems are particularly vulnerable, due to a unique combination of ecosystem, socioeconomic, technological and institutional constraints. Many approaches to reducing hunting pressure have been suggested, all of which impact on users to some extent. However, there has been little rigorous analysis of how these impacts are distributed. Here we discuss the key determinants of impact distribution, including who is targeted, who implements the policies, ability and willingness to comply with enforcement measures, and ecosystem characteristics. We then present a case study where the framework is applied, and conclude with an approach for planning policy interventions."
"Crookes, D.; Humphreys, D.; Masroh, F.; Tarchie, B.; Milner-Gulland, E. J.;",2007,"The role of hunting in village livelihoods in the Ashanti region, Ghana",South African Journal of Economic and Management Sciences,bushmeat market; west-africa; trade; community; wildlife,"The article describes the results of two surveys conducted in six villages in the Ashanti region of Ghana. The first was undertaken in August 2002 and the second during July 2004. A total of 468 hunters and non-hunters were surveyed using targeted and systematic interviewing techniques. The results indicate that hunting is an important contributor to total income in the villages, particularly for poorer households. We find some evidence that hunting increases during lean periods, especially for hunters in the household survey. Distance to Kumasi is a significant determinant of the number of animals sold on the market, and also influences the type of gear used for hunting. Compliance with wildlife laws, notably species restrictions and the closed season is low, particularly amongst professional hunters."
"Crookes, Douglas J.; Blignaut, James N.;",2016,A categorisation and evaluation of rhino management policies,Development Southern Africa,Economics; policy; Property rights; Rhino; tragedy of the commons,"Rhino populations are at a critical level and new approaches are needed to ensure their survival. This study conducts a review and categorisation of policies for the management of rhinos. Twenty-seven policies are identified and classified into in-situ (reserve-based) and ex-situ (market-based) policies. The policies are then evaluated based on four target areas: poachers/hunters, consumers, intermediaries and the game reserves themselves. The study finds that protected area management policies seem most beneficial in the short run, in particular the enforcement of private property rights over resource utilisation, as well as the establishment of wildlife sanctuaries that act as sustainable breeding grounds for rhino populations."
